x,Abietinella abietina
x,Acarospora smaragdula
,Achillea millefolium
,Achillea ptarmica
,Agrostis capillaris
,Agrostis stolonifera
,Agrostis vinealis
,Alchemilla alpina
,Alchemilla filicaulis
x,Alectoria ochroleuca
x,Amblystegium serpens
x,Amphidium lapponicum
x,Amphidium mougeotii
x,Amygdalaria consentiens
x,Amygdalaria panaeola
x,Amygdalaria pelobotryon
x,Andreaea rupestris
x,Aneura pinguis
,Angelica archangelica
,Angelica sylvestris
x,Anomobryum concinnatum
x,Anthelia julacea
x,Anthelia juratzkana
,Anthoxanthum odoratum
x,Antitrichia curtipendula
x,Aongstroemia longipes
,Arabidopsis petraea
,Arabis alpina
x,Arctoa fulvella
x,Arctomia interfixa
,Arctostaphylos uva-ursi
,Arenaria norvegica
,Argentina anserina
,Argentina egedii
,Armeria maritima
x,Arthonia stereocaulina
x,Arthrorhaphis alpina
x,Aspicilia cinerea
x,Atrichum tenellum
x,Atrichum undulatum
,Atriplex glabriuscula
,Atriplex longipes
x,Aulacomnium palustre
x,Aulacomnium turgidum
,Avenella flexuosa
x,Bacidia trachona
x,Baeomyces rufus
x,Barbilophozia attenuata
x,Barbilophozia barbata
x,Barbilophozia hatcheri
x,Barbilophozia kunzeana
x,Barbilophozia quadriloba
x,Barbilophozia sudetica
x,Barbula unguiculata
x,Bartramia ithyphylla
x,Bartramia sp.
,Bartsia alpina
x,Bellemerea subsorediza
,Betula nana
,Betula pubescens
x,Biatora subduplex
x,Bistorta officinalis
,Bistorta vivipara
x,Blasia pusilla
x,Blepharostoma trichophyllum
x,Blepharostoma trichophyllum subsp. Brevirete
x,Blindia acuta
,Botrychium lunaria
x,Brachythecium albicans
x,Brachythecium latifolium
x,Brachythecium mildeanum
x,Brachythecium reflexum
x,Brachythecium rivulare
x,Brigantiaea fuscolutea
x,Bryoerythrophyllum recurvirostrum
x,Bryonora castanea
x,Bryum acutiforme
x,Bryum algovicum
x,Bryum argenteum
x,Bryum creberrimum
x,Bryum curvatum
x,Bryum elegans
x,Bryum imbricatum
x,Bryum knowltonii
x,Bryum neodamense
x,Bryum pallens
x,Bryum pallescens
x,Bryum pseudotriquetrum
x,Bryum purpurascens
x,Bryum rutilans
x,Bryum sp.
x,Bryum weigelii
x,Buellia insignis
,Cakile maritima
,Calamagrostis neglecta
x,Calliergon cordifolium
x,Calliergon giganteum
x,Calliergon richardsonii
x,Calliergonella cuspidata
x,Calliergonella lindbergii
x,Callitriche palustris
,Calluna vulgaris
x,Caloplaca
x,Caloplaca ammiospila
x,Caloplaca approximata
x,Caloplaca caesiorufella
x,Caloplaca cerina
x,Caloplaca exsecuta
x,Caloplaca holocarpa
x,Caloplaca phaeocarpella
x,Caloplaca tetraspora
x,Caloplaca tiroliensis
x,Caloplaca tornoënsis
,Caltha palustris
x,Calvitimela aglaea
x,Calvitimela armeniaca
x,Calvitimela melaleuca
x,Calypogeia muelleriana subsp. muelleriana
x,Calypogeia sphagnicola
,Campanula rotundifolia

x,Campyliadelphus chrysophyllus
x,Campylium protensum
x,Campylium sp.
x,Campylium stellatum
x,Campylopus subulatus
x,Candelariella vitellina
,Cardamine pratensis
,Carex bicolor
,Carex bigelowii
,Carex canescens
,Carex capillaris
,Carex capitata
,Carex chordorrhiza
,Carex dioica
,Carex echinata
,Carex glacialis
,Carex glareosa
,Carex krausei
,Carex lachenalii
,Carex limosa
,Carex livida
,Carex lyngbyei
,Carex mackenziei
,Carex marina
,Carex maritima
,Carex microglochin
,Carex nardina
,Carex nigra
,Carex norvegica
,Carex panicea
,Carex paupercula
,Carex ramenskii
,Carex rariflora
,Carex rostrata
,Carex rufina
,Carex rupestris
,Carex salina
,Carex saxatilis
,Carex subspathacea
,Carex vaginata
,Catabrosa aquatica
x,Catapyrenium cinereum
x,Catillaria contristans
x,Catoscopium nigritum
x,Cephalozia ambigua
x,Cephalozia bicuspidata
x,Cephalozia pleniceps
x,Cephalozia sp.
x,Cephaloziella divaricata
x,Cephaloziella hampeana
x,Cephaloziella sp.
x,Cephaloziella varians
,Cerastium alpinum
,Cerastium cerastoides
,Cerastium fontanum
,Cerastium nigrescens
x,Ceratodon purpureus
x,Cetraria aculeata
x,Cetraria islandica
x,Cetraria muricata
x,Cetraria sepincola
x,Cetraria sp.
x,Cetrariella delisei
,Chamerion angustifolium
,Chamerion latifolium
x/,Chiloscyphus pallescens
x/,Chiloscyphus polyanthos
x/,Chiloscyphus sp.
x/,Cinclidium stygium
x/,Cinclidium subrotundum
x/,Cladonia acuminata
,Cladonia arbuscula
x/,Cladonia arbuscula ssp. arbuscula
x/,Cladonia arbuscula ssp. mitis
x/,Cladonia borealis
x/,Cladonia cariosa
x/,Cladonia cervicornis
x/,Cladonia chlorophaea
x/,Cladonia dahliana
x/,Cladonia ecmocyna
x/,Cladonia furcata
x/,Cladonia gracilis
x/,Cladonia imbricarica
x/,Cladonia luteoalba
x/,Cladonia macroceras
x/,Cladonia macrophyllodes
x/,Cladonia pocillum
x/,Cladonia pyxidata
x/,Cladonia rangiferina
x/,Cladonia scabriuscula
x/,Cladonia stricta
x/,Cladonia uncialis
x/,Cladonia uncialis ssp. biuncialis
x/,Climacium dendroides
,Cochlearia officinalis
,Coeloglossum viride
,Comarum palustre
,Comastoma tenellum
,Conostomum tetragonum
,Corallorhiza trifida
x/,Cratoneuron filicinum
,Cryptogamic crust
,Cystopteris fragilis
,Dactylorhiza maculata
,Deschampsia alpina
,Deschampsia cespitosa
x/,Dichodontium palustre
x/,Dichodontium pellucidum
x/,Dicranella grevilleana
x/,Dicranella riparia
x/,Dicranella subulata
x/,Dicranoweisia crispula
x/,Dicranum angustum
x/,Dicranum bonjeanii
x/,Dicranum flexicaule
x/,Dicranum fuscescens
x/,Dicranum laevidens
x/,Dicranum scoparium
x/,Dicranum sp.
x/,Dicranum spadiceum
,Diphasiastrum alpinum
x/,Diphyscium foliosum
x/,Diplophyllum albicans
x/,Distichium capillaceum
x/,Distichium inclinatum
x/,Ditrichum cylindricum
x/,Ditrichum flexicaule
x/,Ditrichum sp.
,Draba incana
,Draba norvegica
x/,Drepanocladus aduncus
x/,Drepanocladus polygamus
x/,Drepanocladus sp.
x/,Drepanocladus trifarius
x/,Drepanocladus turgescens
,Drosera rotundifolia
,Dryas octopetala
,Eleocharis palustris
,Eleocharis quinqueflora
,Eleocharis uniglumis
,Elytrigia repens
,Empetrum nigrum
x/,Encalypta alpina
x/,Encalypta procera
x/,Encalypta rhaptocarpa
x/,Endococcus propinquus
x/,Epilichen scabrosus
,Epilobium alsinifolium
,Epilobium anagallidifolium
,Epilobium collinum
,Epilobium hornemannii
,Epilobium palustre
,Equisetum arvense
,Equisetum fluviatile
,Equisetum hyemale
,Equisetum palustre
,Equisetum pratense
,Equisetum variegatum
,Erigeron borealis
,Erigeron uniflorus
,Eriophorum angustifolium
,Eriophorum scheuchzeri
,Euphrasia frigida
,Euphrasia wettsteinii
x/,Eurhynchium pulchellum
,Festuca richardsonii
,Festuca rubra
,Festuca vivipara
,Filipendula ulmaria
x/,Fissidens adianthoides

x/,Fissidens bryoides
x/,Fissidens osmundoides
x/,Flavocetraria nivalis
,Fragaria vesca
x/,Funaria hygrometrica
,Galium boreale
,Galium normanii
,Galium trifidum
,Galium uliginosum
,Galium verum
,Gentiana nivalis
,Gentianella amarella
,Gentianella aurea
,Gentianella campestris
,Gentianopsis detonsa
,Geranium sylvaticum
,Geum rivale
x/,Gowardia nigricans
x/,Grimmia reflexidens
,Gymnocarpium dryopteris
x/,Gymnocolea inflata
x/,Gymnomitrion concinnatum
x/,Gymnomitrion corallioides
x/,Harpanthus flotovianus
,Harrimanella hypnoides
x/,Helodium blandowii
,Hieracium
,Hierochloe odorata
,Hippuris tetraphylla
,Hippuris vulgaris
x/,Homalothecium lutescens
x/,Homalothecium sericeum
,Honckenya peploides
,Huperzia selago
x/,Hygrohypnum ochraceum
x/,Hylocomium splendens
x/,Hymenelia arctica
x/,Hymenoloma crispulum
x/,Hypnum cupressiforme
x/,Hypnum jutlandicum
x/,Hypnum lindbergii
x/,Hypnum revolutum
x/,Hypnum sp.
x/,Ionaspis odora
x/,Ionaspis suaveolens
x/,Ionaspis ventosa
x/,Isopaches bicrenatus
x/,Isopterygiopsis pulchella
,Juncus alpinoarticulatus
,Juncus arcticus
,Juncus articulatus
,Juncus balticus
,Juncus biglumis
,Juncus bufonius
,Juncus filiformis
,Juncus gerardii
,Juncus trifidus
,Juncus triglumis
x/,Jungermannia confertissima
x/,Jungermannia exsertifolia subsp. cordifolia
x/,Jungermannia obovata
x/,Jungermannia pumila
x/,Jungermannia sp.
x/,Jungermannia subelliptica
,Juniperus communis
x/,Kiaeria falcata
x/,Kiaeria glacialis
x/,Kiaeria starkei
,Kobresia myosuroides
,Koenigia islandica
x/,Lecanora frustulosa
x/,Lecanora hagenii
x/,Lecanora intricata
x/,Lecanora polytropa
x/,Lecidea auriculata
x/,Lecidea confluens
x/,Lecidea lapicida
x/,Lecidea lapicida var. lapicida
x/,Lecidea lapicida var. pantherina
x/,Lecidea olivascens
x/,Lecidea praenubila
x/,Lecidella carpathica
x/,Lecidella wulfenii
x/,Leiocolea badensis
x/,Leiocolea gillmanii
x/,Leiocolea heterocolpos
x/,Lejeunea cavifolia
,Leontodon autumnalis
x/,Leptobryum pyriforme
x/,Leptogium imbricatum
x/,Leptogium lichenoides
,Leymus arenarius
,Listera cordata
x/,Loeskypnum badium
,Loiseleuria procumbens
,Lomatogonium rotatum
x/,Lophocolea bidentata
x/,Lophozia debiliformis
x/,Lophozia excisa
x/,Lophozia grandiretis
x/,Lophozia sp.
x/,Lophozia sudetica
x/,Lophozia ventricosa
x/,Lophozia wenzelii
,Lupinus nootkatensis
,Luzula arcuata
,Luzula multiflora
,Luzula spicata
,Luzula sudetica
,Lycopodium annotinum
x/,Marchantia polymorpha
x/,Marchantia polymorpha subsp. montivagans
x/,Marsupella brevissima
x/,Marsupella condensata
x/,Marsupella sp.
x/,Meesia triquetra
x/,Meesia uliginosa
x/,Megaspora verrucosa
x/,Melanohalea exasperata
,Menyanthes trifoliata
,Mertensia maritima
x/,Mesoptychia rutheana
x/,Mesoptychia sp.
x/,Micarea assimilata
x/,Micarea incrassata
x/,Micarea paratropa
,Minuartia biflora
,Minuartia rubella
,Minuartia stricta
x/,Mnium hornum
x/,Mnium stellare
x/,Mnium thomsonii
,Montia fontana
x/,Muellerella pygmaea
x/,Muellerella pygmaea var. athallina
x/,Mycobilimbia berengeriana
x/,Mycobilimbia hypnorum
x/,Mycobilimbia lobulata
,Myosotis arvensis
x/,Myurella julacea
x/,Nardia breidleri
x/,Nardia geoscyphus
x/,Nardia scalaris
,Nardus stricta
x/,Neoorthocaulis floerkei
x/,Nephroma arcticum
x/,Neuropogon sphacelatus
x/,Ochrolechia frigida
x/,Ochrolechia inaequatula
x/,Ochrolechia parella
x/,Ochrolechia xanthostoma
x/,Odontoschisma elongatum
x/,Odontoschisma macounii
x/,Oligotrichum hercynicum
,Omalotheca norvegica
,Omalotheca supina
x/,Oncophorus elongatus
x/,Oncophorus virens
x/,Oncophorus wahlenbergii
,Orthilia secunda
x/,Orthocaulis atlanticus
,Oxycoccus microcarpus
,Oxyria digyna
x/,Paludella squarrosa
x/,Palustriella falcata
x/,Parmelia omphalodes
x/,Parmelia saxatilis
,Parnassia palustris
,Pedicularis flammea
x/,Pellia neesiana
x/,Pellia sp.
x/,Peltigera
x/,Peltigera aphthosa
x/,Peltigera canina
x/,Peltigera didactyla
x/,Peltigera kristinssonii
x/,Peltigera lepidophora
x/,Peltigera leucophlebia
x/,Peltigera membranacea
x/,Peltigera neckeri
x/,Peltigera polydactylon
x/,Peltigera praetextata
x/,Peltigera rufescens
x/,Peltigera scabrosa
x/,Peltigera sp.
x/,Peltigera venosa
x/,Pertusaria corallina
x/,Pertusaria dactylina
x/,Pertusaria lactea
x/,Pertusaria oculata
x/,Philonotis caespitosa
x/,Philonotis fontana
x/,Philonotis seriata
x/,Philonotis sp.
x/,Philonotis tomentella
,Phleum alpinum
,Phleum pratense
x/,Physcia caesia
x/,Physcia tenella
,Picea sitchensis
,Pinguicula vulgaris
x/,Placopsis gelida
x/,Placopsis lambii
x/,Placynthium nigrum
x/,Plagiochila porelloides
x/,Plagiomnium curvatulum
x/,Plagiomnium elatum
x/,Plagiomnium ellipticum
,Plantago maritima
,Platanthera hyperborea
x/,Platydictya jungermannioides
x/,Pleurocladula albescens
x/,Pleurozium schreberi
,Poa alpina
,Poa flexuosa
,Poa glauca
,Poa pratensis
x/,Pogonatum nanum
x/,Pogonatum urnigerum
x/,Pohlia bulbifera
x/,Pohlia cruda
x/,Pohlia drummondii
x/,Pohlia elongata
x/,Pohlia filum
x/,Pohlia nutans
x/,Pohlia proligera
x/,Pohlia sp.
x/,Pohlia wahlenbergii
x/,Polychidium muscicola
x/,Polycoccum deformans
,Polystichum lonchitis
x/,Polytrichastrum alpinum
x/,Polytrichastrum formosum
x/,Polytrichastrum longisetum
x/,Polytrichum alpinum
x/,Polytrichum commune
x/,Polytrichum juniperinum
x/,Polytrichum piliferum
x/,Polytrichum sexangulare
x/,Polytrichum strictum
x/,Polytrichum swartzii
x/,Porpidia cinereoatra
x/,Porpidia crustulata
x/,Porpidia flavicunda
x/,Porpidia melinodes
x/,Porpidia soredizodes
x/,Porpidia speirea
x/,Porpidia superba
x/,Porpidia tuberculosa
,Potentilla crantzii
x/,Preissia quadrata
x/,Pronectria erythrinella
x/,Protomicarea limosa
x/,Protopannaria pezizoides
x/,Protothelenella sphinctrinoides
,Prunella vulgaris
x/,Pseudephebe minuscula
x/,Pseudephebe pubescens
x/,Pseudobryum cinclidioides
x/,Pseudocalliergon trifarium

x/,Pseudocalliergon turgescens
x/,Pseudoscleropodium purum
x/,Psilopilum laevigatum
x/,Psoroma hypnorum
x/,Psoroma hypnorum var. hypnorum
x/,Psoroma paleaceum
x/,Pterigynandrum filiforme
x/,Ptilidium ciliare
x/,Ptychostomum archangelicum
x/,Ptychostomum pseudotriquetrum
,Puccinellia capillaris
,Puccinellia coarctata
,Puccinellia maritima
,Puccinellia maritima x P.capillari
,Pyrola minor
,Racomitrium canescens
x/,Racomitrium elongatum
,Racomitrium ericoides
x/,Racomitrium fasciculare
x/,Racomitrium heterostichum
,Racomitrium lanuginosum
x/,Racomitrium sudeticum
,Ranunculus acris
,Ranunculus hyperboreus
,Ranunculus reptans
,Ranunculus subborealis
,Rhinanthus minor
x/,Rhizocarpon
x/,Rhizocarpon badioatrum
x/,Rhizocarpon cinereovirens
x/,Rhizocarpon copelandii
x/,Rhizocarpon expallescens
x/,Rhizocarpon geographicum
x/,Rhizocarpon lavatum
x/,Rhizocarpon obscuratum
x/,Rhizomnium magnifolium
x/,Rhizomnium pseudopunctatum
x/,Rhizomnium punctatum
,Rhodiola rosea
x/,Rhytidiadelphus loreus
x/,Rhytidiadelphus squarrosus
x/,Rhytidiadelphus triquetrus
x/,Rhytidium rugosum
x/,Riccardia chamedryfolia
x/,Riccardia incurvata
x/,Riccardia sp.
x/,Rinodina archaea
x/,Rinodina mniaraea
x/,Rinodina olivaceobrunnea
x/,Rinodina septentrionalis
x/,Rinodina turfacea
,Rubus saxatilis
,Rumex acetosa
,Rumex acetosella
,Sagina nivalis
,Sagina nodosa
,Sagina procumbens
,Sagina saginoides
,Salix arctica
,Salix herbacea
,Salix lanata
,Salix phylicifolia
x/,Sanionia nivalis
x/,Sanionia orthothecioides
x/,Sanionia uncinata
x/,Santessoniella arctophila
x/,Sarmentypnum exannulatum
x/,Sarmentypnum sarmentosum
,Saxifraga cernua
,Saxifraga cespitosa
,Saxifraga cotyledon
,Saxifraga hirculus
,Saxifraga hypnoides
,Saxifraga nivalis
,Saxifraga oppositifolia
,Saxifraga rivularis
,Saxifraga rosacea
,Saxifraga stellaris
x/,Scapania brevicaulis
x/,Scapania calcicola
x/,Scapania hyperborea
x/,Scapania irrigua
x/,Scapania lingulata
x/,Scapania obcordata
x/,Scapania paludicola
x/,Scapania paludosa
x/,Scapania scandica
x/,Scapania sp.
x/,Scapania subalpina
x/,Scapania uliginosa
x/,Scapania undulata
x/,Schadonia fecunda
x/,Schedonorus pratensis
x/,Schistidium agassizii
x/,Schistidium flexipile
x/,Schistidium maritimum
x/,Schistidium maritimum subsp. piliferum
x/,Schistidium papillosum
x/,Schistidium rivulare
x/,Schistidium sp.
x/,Schistidium strictum
x/,Schistidium venetum
x/,Schljakovia kunzeana
x/,Sciuro-hypnum starkei
x/,Sclerococcum sphaerale
x/,Scoliciosporum umbrinum
x/,Scorpidium cossonii
x/,Scorpidium revolvens
x/,Scorpidium scorpioides
,Sedum acre
,Sedum annuum
,Sedum villosum
,Selaginella selaginoides
,Sibbaldia procumbens
,Silene acaulis
,Silene uniflora
x/,Solenostoma gracillimum
x/,Solorina bispora
x/,Solorina crocea
x/,Solorina spongiosa
,Spergula arvensis
x/,Sphaerophorus globosus
x/,Sphagnum balticum
x/,Sphagnum centrale
x/,Sphagnum girgensohnii
x/,Sphagnum inundatum
x/,Sphagnum obtusum
x/,Sphagnum papillosum
x/,Sphagnum sp.
x/,Sphagnum squarrosum
x/,Sphagnum subnitens subsp. ferrugineum
x/,Sphagnum subnitens subsp. subnitens
x/,Sphagnum teres
x/,Sphagnum warnstorfii
x/,Sphenolobus minutus
x/,Splachnum sphaericum
x/,Splachnum vasculosum
x/,Sporastatia testudinea
x/,Sporodictyon terrestre
,Stellaria borealis
,Stellaria crassifolia
,Stellaria humifusa
,Stellaria media
x/,Stereocaulon
x/,Stereocaulon alpinum
x/,Stereocaulon arcticum
x/,Stereocaulon capitellatum
x/,Stereocaulon depressum
x/,Stereocaulon glareosum
x/,Stereocaulon rivulorum
x/,Stereocaulon sp.
x/,Stereocaulon tomentosum
x/,Stereocaulon tornense
x/,Stereocaulon vesuvianum
x/,Straminergon stramineum
,Succisa pratensis
x/,Syntrichia ruralis
x/,Syntrichia ruralis var. ruraliformis
x/,Syntrichia ruralis var. ruralis
,Taraxacum
x/,Tayloria lingulata
x/,Tephromela atra
,Thalictrum alpinum
x/,Thamnolia vermicularis
x/,Thamnolia vermicularis var. subuliformis
x/,Thuidium assimile
,Thymus praecox
x/,Timmia austriaca
x/,Timmia bavarica
x/,Timmia norvegica
,Tofieldia pusilla
x/,Tomentypnum nitens
x/,Toninia squalida
x/,Tortella fragilis
x/,Tortula euryphylla
x/,Tortula subulata
x/,Tremolecia atrata
,Trichophorum cespitosum
x/,Trichostomum brachydontium
,Trientalis europaea
,Trifolium repens
,Triglochin maritima
,Triglochin palustris
x/,Trilophozia quinquedentata
,Tripleurospermum maritimum
,Tripleurospermum perforatum
,Trisetum spicatum
,Trisetum triflorum
x/,Tritomaria polita
x/,Tritomaria quinquedentata
x/,Tritomaria scitula
x/,Ulota phyllantha
x/,Umbilicaria arctica
x/,Umbilicaria cylindrica
x/,Umbilicaria proboscidea
x/,Umbilicaria torrefacta
,Vaccinium myrtillus
,Vaccinium uliginosum
,Veronica alpina
,Veronica fruticans
,Veronica officinalis
,Veronica serpyllifolia
x/,Verrucaria aethiobola
x/,Verrucaria maura
x/,Verrucaria nigrescens
,Vicia cracca
,Viola canina
,Viola palustris
,Viola tricolor
,Viscaria alpina
x/,Warnstorfia exannulata
x/,Warnstorfia sarmentosa
x/,Warnstorfia tundrae

